LCCN	LCSH	Identifier	Name
sh85005482	Antaisaka language	bjq	Southern Betsimisaraka Malagasy
sh85005812	Anuak language	anu	Anuak
sh85005816	Anufo language	cko	Anufo
sh85005833	Anuta language	aud	Anuta
sh88005464	Anyang language	ken	Kenyang
sh85005843	Anyi language	any	Anyin
sh85005850	Ao language	njo	Ao Naga
sh85005853	Aomie language	aom	Ömie
sh85005892	Apalachee language	xap	Apalachee
sh85005897	Apalai language	apy	Apalaí
sh85005930	Apatani language	apt	Apatani
sh96007753	Arabana language	ard	Arabana
sh85006288	Arabela language	arl	Arabela
sh85006306	Arabic language	ara	Arabic
sh98001085	Arakanese language	rki	Rakhine
sh85006404	Aramaic language	arc	Official Aramaic (700-300 BCE)
sh85006413	Aranda language	are	Western Arrarnta
sh85006421	Araona language	aro	Araona
sh85006423	Arapaho language	arp	Arapaho
sh85006445	Arawak language	arw	Arawak
sh86002393	Arbore language	arv	Arbore
sh85006540	Archi language	aqc	Archi
sh85006992	Areare language	alu	&apos;Are&apos;are
sh85006996	Arecuna language	aoc	Pemon
sh85006998	Arekena language	gae	Guarequena
sh85007106	Argobba language	agj	Argobba
sh99002910	Aribwatsa language	laz	Aribwatsa
sh85007150	Arikara language	ari	Arikara
sh85007285	Armenian language	hye	Armenian
sh85007286	Armenian, Classical language	xcl	Classical Armenian
sh85007287	Armenian, Middle language	axm	Middle Armenian
sh85007288	Armenian, Modern language	hye	Armenian
sh85007388	Aromanian language	rup	Macedo Romanian
sh85007408	Arosi language	aia	Arosi
sh85008510	Asaro language	aso	Dano
sh85008742	Assamese language	asm	Assamese
sh85008796	Assiniboine language	asb	Assiniboine
sh85009040	Asu language	ppt	Pare
sh93008727	Asuri language	asr	Asuri
sh88007670	Ata Manobo language	atd	Ata Manobo
sh85009059	Atacameno language	kuz	Kunza
sh85009377	Atakapa language	aqp	Atakapa
sh85009086	Atchin language	upv	Uripiv-Wala-Rano-Atchin
sh98000948	Athpare language	aph	Athpariya
sh87003848	Atinggola language	bld	Bolango
sh85009160	Atisa language	epi	Epie
sh85009369	Atsera language	adz	Adzera
sh85009371	Atsina language	ats	Gros Ventre
sh85009373	Atsugewi language	atw	Atsugewi
sh85009375	Atta language	att	Pamplona Atta
sh86007831	Attic Greek language	grc	Ancient Greek (to 1453)
sh85009404	Attie language	ati	Attié
sh85009433	Au language	avt	Au
sh2002006282	Aulua language	aul	Aulua
sh98006737	Australian Sign Language	asf	Australian Sign Language
sh85010486	Auyana language	kze	Kosena
sh85010497	Avaric language	ava	Avaric
sh85010527	Avestan language	ave	Avestan
sh85010567	Awa language (Eastern Highlands Province, Papua New Guinea)	awb	Awa
sh2002007782	Awabakal language	awk	Awabakal
sh85010568	Awadhi language	awa	Awadhi
sh87002384	Ayangan Ifugao language	ifb	Batad Ifugao
sh2002005784	Ayizo-gbe language	ayb	Ayizo Gbe
sh85010618	Aymara language	aym	Aymara
sh92005083	Ayta Anchi Sambal language	sgb	Mag-Anchi Ayta
sh98005406	Ayta Mag Indi language	blx	Mag-Indi Ayta
sh85010640	Azerbaijani language	aze	Azerbaijani
